Unique_ID,City,Latitude,Longitude,Country
339,Vancouver,49.25,-123.1,Canada
340,Lianshan,40.7523,120.828,China
341,Beirut,33.8983,35.5057,Lebanon
342,Salvador,-12.9747,-38.4767,Brazil
343,Bucharest,44.4325,26.1039,Romania
344,Longba,33.3702,104.9603,China
345,Nagpur,21.1497,79.0806,India
346,Queens,40.7498,-73.7976,United States
347,Jilin,43.8519,126.5481,China
348,Tieling,42.2237,123.726,China
349,Accra,5.55,-0.2,Ghana
350,Yunfu,22.9152,112.0445,China
351,Bekasi Kota,-6.2333,107,Indonesia
352,Daegu,35.8717,128.6017,"Korea, South"
353,Ghaziabad,28.67,77.42,India
354,Luoyang,34.6197,112.4539,China
355,Brisbane,-27.4678,153.0281,Australia
356,Anshun,26.2531,105.9476,China
357,Riverside,33.9381,-117.3949,United States
358,Yingkou,40.625,122.219,China
359,Colombo,6.9344,79.8428,Sri Lanka
360,Yanjiang,30.129,104.627,China
361,Baku,40.3953,49.8822,Azerbaijan
362,Antananarivo,-18.91,47.525,Madagascar
363,Mudanjiang,44.5514,129.6329,China
364,Fukuoka,33.59,130.4017,Japan
365,Yan'an,36.65,109.494,China
366,Kerala,28.67,77.42,India
367,Nantong,31.981,120.894,China
368,Lincang,23.884,100.089,China
369,Yuxi,24.347,102.527,China
370,Las Vegas,36.2333,-115.2654,United States
371,Caracas,10.4806,-66.9036,Venezuela
372,Tangerang,-6.1703,106.6403,Indonesia
373,Laibin,23.7501,109.2212,China
374,Konya,37.8667,32.4833,Turkey
375,Supaul,26.126,86.605,India
376,Vienna,48.2083,16.3725,Austria
377,Esfahan,32.6447,51.6675,Iran
378,Baltimore,39.3051,-76.6144,United States
379,Shengli,37.434,118.6746,China
380,Dandong,40.1167,124.3833,China
381,Qinbaling,35.7278,107.64,China
382,Kerala,28.67,77.42,India
383,Awka,6.2069,7.0678,Nigeria
384,Taizhou,28.6557,121.4208,China
385,Ma'anshan,31.669,118.507,China
386,Harare,-17.8292,31.0522,Zimbabwe
387,Perth,-31.9559,115.8606,Australia
388,St. Louis,38.6359,-90.2451,United States
389,Phnom Penh,11.5694,104.9211,Cambodia
390,Depok,-6.394,106.8225,Indonesia
391,Stockholm,59.3294,18.0686,Sweden
392,Puning,23.298,116.166,China
393,Huaibei,33.956,116.798,China
394,Kowloon,22.3167,114.1833,Hong Kong
395,Cordoba,-31.4167,-64.1833,Argentina
396,Haiphong,20.8651,106.6838,Vietnam
397,Zamboanga City,6.9042,122.0761,Philippines
398,Chongzuo,22.377,107.365,China
399,Rawalpindi,33.6,73.0333,Pakistan
400,Portland,45.5371,-122.65,United States
401,Kano,12,8.5167,Nigeria
402,Yushan,31.322,120.985,China
403,Havana,23.1367,-82.3589,Cuba
404,Hezhou,24.4042,111.5672,China
405,Pingliang,35.5424,106.6649,China
406,Vadodara,22.3,73.2,India
407,Manaus,-3.1189,-60.0217,Brazil
408,Qingyang,24.7816,118.5517,China
409,San Antonio,29.4632,-98.5238,United States
410,Rajkot,22.3,70.7833,India
411,Shangzhou,33.868,109.9244,China
412,Vishakhapatnam,17.7042,83.2978,India
413,Sanmenxia,34.7732,111.2004,China
414,Baicheng,45.62,122.838,China
415,Gujranwala,32.1567,74.19,Pakistan
416,Aleppo,36.2,37.16,Syria
417,Tijuana,32.525,-117.0333,Mexico
418,Bamenda,5.9614,10.1517,Cameroon
419,Minsk,53.9,27.5667,Belarus
420,Indore,22.7167,75.8472,India
421,Karaj,35.8272,50.9489,Iran
422,Kananga,-5.897,22.4488,Congo (Kinshasa)
423,Peshawar,34.0144,71.5675,Pakistan
424,Sapporo,43.0619,141.3544,Japan
425,Sacramento,38.5677,-121.4685,United States
426,Tilburg,51.55,5.0833,Netherlands
427,Pingxiang,27.659,113.887,China
428,Ecatepec,19.6097,-99.06,Mexico
429,Almaty,43.24,76.915,Kazakhstan
430,Austin,30.3005,-97.7522,United States
431,Yinchuan,38.485,106.225,China
432,Santos,-23.9369,-46.325,Brazil
433,Blantyre,-15.7861,35.0058,Malawi
434,Thane,19.1972,72.9722,India
435,Orlando,28.4773,-81.337,United States
436,Tainan,22.9833,120.1833,Taiwan
437,Xiping,40.082,113.2981,China
438,Multan,30.1978,71.4697,Pakistan
439,Santa Cruz,-17.8,-63.1833,Bolivia
440,Port Harcourt,4.8242,7.0336,Nigeria
441,Jixi,45.295,130.969,China
442,Fushun,41.881,123.957,China
443,Warsaw,52.23,21.0111,Poland
444,Beihai,21.481,109.12,China
445,Fuxin,42.022,121.67,China
446,Wuwei,37.929,102.638,China
447,Siping,43.1668,124.3506,China
448,San Juan,18.3985,-66.061,Puerto Rico
449,Mersin,36.8,34.6333,Turkey
450,Bhopal,23.2599,77.4126,India
451,Mosul,36.34,43.13,Iraq
452,Lubumbashi,-11.6647,27.4794,Congo (Kinshasa)
453,Davao,7.07,125.6,Philippines
454,Curitiba,-25.4297,-49.2711,Brazil
455,San Jose,37.3012,-121.848,United States
456,Shuyangzha,34.1299,118.7734,China
457,Adana,37,35.3213,Turkey
458,Quito,-0.22,-78.5125,Ecuador
459,Pittsburgh,40.4397,-79.9763,United States
460,Brazzaville,-4.2694,15.2711,Congo (Brazzaville)
461,Hyderabad City,25.3792,68.3683,Pakistan
462,Diyarbakir,37.91,40.24,Turkey
463,Indianapolis,39.7771,-86.1458,United States
464,Pimpri-Chinchwad,18.6186,73.8037,India
465,Masqat,23.5889,58.4083,Oman
466,Montevideo,-34.8836,-56.1819,Uruguay
467,Shuozhou,39.3317,112.4329,China
468,Manhattan,40.7834,-73.9662,United States
469,Cincinnati,39.1413,-84.506,United States
470,Kansas City,39.1238,-94.5541,United States
471,Patna,25.594,85.1376,India
472,Tegucigalpa,14.1058,-87.2047,Honduras
473,Kampala,0.3136,32.5811,Uganda
474,Cleveland,41.4764,-81.6805,United States
475,Sanzhou,30.82,108.4,China
476,Changshu,31.656,120.753,China
477,Kerala,22.3,73.2,India
478,Conakry,9.5092,-13.7122,Guinea
479,Ximeicun,24.9612,118.3849,China
480,Caloocan City,14.65,120.97,Philippines
481,Masvingo,-20.0744,30.8328,Zimbabwe
482,Zhongli,24.965,121.2168,Taiwan
483,Novosibirsk,55.05,82.95,Russia
484,Bilaspur,22.09,82.15,India
485,Semarang,-6.99,110.4225,Indonesia
486,Jingdezhen,29.2917,117.1986,China
487,Ludhiana,30.91,75.85,India
488,Liaoyang,41.279,123.176,China
489,Chengtangcun,35.0833,117.15,China
490,Rajshahi,24.3667,88.6,Bangladesh
491,Balandougou,13.3558,-9.5517,Mali
492,Jiangyin,31.839,120.295,China
493,Valencia,39.47,-0.3764,Spain
494,Agra,27.18,78.02,India
495,Leon de los Aldama,21.1167,-101.6833,Mexico
496,Puebla,19.0333,-98.1833,Mexico
497,Columbus,39.9862,-82.9855,United States
498,Yopougon,5.3167,-4.0667,Côte d’Ivoire
499,Hebi,35.748,114.297,China
500,Shiraz,29.61,52.5425,Iran
501,Madurai,9.9252,78.1198,India
502,Huzhou,30.8925,120.0875,China
503,Tabriz,38.0814,46.3006,Iran
504,Jamshedpur,22.7925,86.1842,India
505,Maracaibo,10.6333,-71.6333,Venezuela
506,Sofia,42.7,23.33,Bulgaria
507,San Jose,9.9325,-84.08,Costa Rica
508,Prayagraj,25.4358,81.8464,India
509,Palembang,-2.9861,104.7556,Indonesia
510,Kawasaki,35.5167,139.7,Japan
511,Kobe,34.69,135.1956,Japan
512,Kerala,22.3,73.2,India
513,Kigali,-1.9439,30.0594,Rwanda
514,Zhangjiajie,29.117,110.479,China
515,Baiyin,36.5451,104.1389,China
516,Guiping,23.4,110.0833,China
517,Lianjiang,21.7333,110.2833,China
518,Jianguang,28.1958,115.7833,China
519,Yucheng,30.01,103.0415,China
520,Xushan,30.1667,121.2333,China
521,Panama City,8.9833,-79.5167,Panama
522,Nneyi-Umuleri,6.3333,6.8333,Nigeria
523,Leizhou,20.9143,110.0967,China
524,Gwangju,35.1653,126.8486,"Korea, South"
525,Katako-Kombe,-3.4,24.42,Congo (Kinshasa)
526,Recife,-8.05,-34.9,Brazil
527,Nasik,19.9975,73.7898,India
528,Valencia,10.1833,-68,Venezuela
529,Onitsha,6.1667,6.7833,Nigeria
530,Abu Dhabi,24.4667,54.3667,United Arab Emirates
531,Zapopan,20.7167,-103.4,Mexico
532,Daejeon,36.35,127.385,"Korea, South"
533,Bronx,40.8501,-73.8662,United States
534,Yekaterinburg,56.8356,60.6128,Russia
535,Huazhou,32.688,112.087,China
536,Jinhua,29.079,119.647,China
537,Kyoto,35.0117,135.7683,Japan
538,Amsterdam,52.3728,4.8936,Netherlands
539,Pizhou,34.398,117.89,China
540,Kismaayo,-0.3581,42.5453,Somalia
541,Yangshe,31.8767,120.556,China
542,Virginia Beach,36.7335,-76.0435,United States
543,Dakar,14.6928,-17.4467,Senegal
544,Goiania,-16.6667,-49.25,Brazil
545,Charlotte,35.2083,-80.8303,United States
546,Rui'an,27.7833,120.625,China
547,Muscat,23.6139,58.5922,Oman
548,Kharkiv,49.9925,36.2311,Ukraine
549,Kerala,22.3,73.2,India
550,Gaozhou,21.9244,110.8422,China
551,Faridabad,28.4211,77.3078,India
552,Medina,24.47,39.61,Saudi Arabia
553,Khulna,22.8167,89.55,Bangladesh
554,Ulaanbaatar,47.9203,106.9172,Mongolia
555,Fuqing,25.7167,119.3833,China
556,Kayseri,38.7225,35.4875,Turkey
557,Tel Aviv-Yafo,32.08,34.78,Israel
558,Wuzhong,37.9978,106.1986,China
559,Pingdu,36.7769,119.9884,China
560,Sangereng,-6.2889,106.7181,Indonesia
561,Yangquan,37.8571,113.5804,China
562,Samsun,41.2903,36.3336,Turkey
563,Yutan,28.278,112.552,China
564,Copenhagen,55.6761,12.5683,Denmark
565,Helsinki,60.1708,24.9375,Finland
566,Prague,50.0875,14.4214,Czechia
567,Milan,45.4669,9.19,Italy
568,Auckland,-36.8406,174.74,New Zealand
569,Santiago,19.4572,-70.6889,Dominican Republic
570,Chizhou,30.6654,117.4916,China
571,Makassar,-5.1619,119.4362,Indonesia
572,Liangshi,27.26,111.7442,China
573,Porto Alegre,-30.0331,-51.23,Brazil
574,Huangshan,29.7149,118.3376,China
575,Barranquilla,10.9833,-74.8019,Colombia
576,Al Basrah,30.515,47.81,Iraq
577,Benxi,41.4868,123.685,China
578,Saitama,35.8614,139.6456,Japan
579,Guarulhos,-23.4628,-46.5328,Brazil
580,Juarez,31.745,-106.485,Mexico
581,Kerala,22.3,73.2,India
582,Xintai,35.909,117.768,China
583,Wusong,30.9333,117.7667,China
584,Calgary,51.05,-114.0667,Canada
585,Meerut,28.98,77.71,India
586,Yushu,44.826,126.55,China
587,Belem,-1.4558,-48.5039,Brazil
588,Kuaidamao,41.7283,125.9397,China
589,Huazhou,21.664,110.6396,China
590,Baishan,41.944,126.4147,China
591,Adelaide,-34.9275,138.6,Australia
592,Haicheng,40.8824,122.6852,China
593,Milwaukee,43.0642,-87.9675,United States
594,Providence,41.823,-71.4187,United States
595,Jacksonville,30.3322,-81.6749,United States
596,Yicheng,31.36,119.815,China
597,Cacuaco,-8.8053,13.2444,Angola
598,Porto,41.1621,-8.622,Portugal
599,Rosario,-32.9575,-60.6394,Argentina
600,Canagatan,18,121.8,Philippines
601,Soweto,-26.2678,27.8585,South Africa
602,Bagam,1.13,104.0531,Indonesia
603,Jabalpur,23.1667,79.9333,India
604,Rucheng,32.246,120.591,China
605,Huaiyin,33.5819,119.028,China
606,Dublin,53.35,-6.2603,Ireland
607,Kazan,55.7964,49.1089,Russia
608,Dayan,26.8552,100.2259,China
609,Shaoyang,32.912,119.8526,China
610,Balikesir,39.6333,27.8833,Turkey
611,Comayaguela,14.098,-87.21,Honduras
612,Laiwu,36.1833,117.6667,China
613,Sharjah,25.3575,55.3908,United Arab Emirates
614,Jingling,30.664,113.167,China
615,Kalyan,19.2502,73.1602,India
616,Nizhniy Novgorod,56.3269,44.0075,Russia
617,Yongcheng,33.9299,116.45,China
618,Sumedang,-6.84,107.9208,Indonesia
619,Can Tho,10.0333,105.7833,Vietnam
620,Brussels,50.8467,4.3525,Belgium
621,Suwon,37.2667,127.0167,"Korea, South"
622,Kerala,22.3,73.2,India
623,Beidao,34.602,105.918,China
624,Vasai-Virar,19.3607,72.7956,India
625,Xiangshui,26.5964,104.8314,China
626,Dadukou,26.5824,101.7184,China
627,Campinas,-22.9058,-47.0608,Brazil
628,Lingcheng,22.7,110.35,China
629,Shuangyashan,46.6762,131.1416,China
630,Mombasa,-4.05,39.6667,Kenya
631,Najafgarh,28.6092,76.9798,India
632,Xinyu,27.8186,114.9167,China
633,Qom,34.64,50.8764,Iran
634,Hargeysa,9.5631,44.0675,Somalia
635,Baidoa,3.1167,43.65,Somalia
636,Zhangye,38.9248,100.4499,China
637,Varanasi,25.3189,83.0128,India
638,Hiroshima,34.3914,132.4519,Japan
639,Kerala,22.3,73.2,India
640,Belgrade,44.82,20.46,Serbia
641,Maiduguri,11.8333,13.15,Nigeria
642,Chelyabinsk,55.1547,61.3758,Russia
643,Batam Centre,1.13,104.0531,Indonesia
644,Rongcheng,26.218,104.103,China
645,Mbandaka,0.0478,18.2558,Congo (Kinshasa)
646,Doha,25.2867,51.5333,Qatar
647,Ahvaz,31.3047,48.6783,Iran
648,Shymkent,42.3167,69.5958,Kazakhstan
649,Tripoli,32.8872,13.1914,Libya
650,Srinagar,34.09,74.79,India
651,Nashville,36.1715,-86.7842,United States
652,Liaoyuan,42.888,125.1447,China
653,Aurangabad,19.88,75.32,India
654,Cilacap,-7.7167,109.017,Indonesia
655,Salt Lake City,40.7776,-111.9311,United States
656,Omsk,54.9833,73.3667,Russia
657,Pikine,14.75,-17.4,Senegal
658,Samara,53.2028,50.1408,Russia
659,Guankou,28.1637,113.6433,China
